YouTube ID,start seconds,label,train/test split,thumbnail,predicted_materials,predicted_sounds
--0PQM4-hqg,30,waterfall burbling,train,https://img.youtube.com/vi/--0PQM4-hqg/0.jpg,Water,Calm
--8puiAGLhs,30,car engine starting,train,https://img.youtube.com/vi/--8puiAGLhs/0.jpg,Metal,Repair
--Bu2xe4OSo,430,wind noise,train,https://img.youtube.com/vi/--Bu2xe4OSo/0.jpg,Glass,Calm
--L3BCCcGEw,400,people clapping,train,https://img.youtube.com/vi/--L3BCCcGEw/0.jpg,Wood,Music
--UQXuZfbFY,44,bird wings flapping,train,https://img.youtube.com/vi/--UQXuZfbFY/0.jpg,Plastic,Unique sounds
--UQXuZfbFY,59,bird wings flapping,train,https://img.youtube.com/vi/--UQXuZfbFY/0.jpg,,
--XInAaMS6k,61,cap gun shooting,train,https://img.youtube.com/vi/--XInAaMS6k/0.jpg,,
--XInAaMS6k,72,cap gun shooting,train,https://img.youtube.com/vi/--XInAaMS6k/0.jpg,,
--Z4X0SQxBc,290,people clapping,train,https://img.youtube.com/vi/--Z4X0SQxBc/0.jpg,,
--byNAHo7tQ,0,"race car, auto racing",train,https://img.youtube.com/vi/--byNAHo7tQ/0.jpg,,
--vpnMyh30c,83,"subway, metro, underground",train,https://img.youtube.com/vi/--vpnMyh30c/0.jpg,,
--xDffQ9Mwo,30,car passing by,train,https://img.youtube.com/vi/--xDffQ9Mwo/0.jpg,,
--zLzL0sq3M,30,car passing by,train,https://img.youtube.com/vi/--zLzL0sq3M/0.jpg,,
-021-GT2EIM,174,church bell ringing,train,https://img.youtube.com/vi/-021-GT2EIM/0.jpg,,
-021-GT2EIM,224,church bell ringing,train,https://img.youtube.com/vi/-021-GT2EIM/0.jpg,,
-0DIFwkUpjQ,50,skateboarding,train,https://img.youtube.com/vi/-0DIFwkUpjQ/0.jpg,,
-0TTFAArJ9k,30,horse clip-clop,train,https://img.youtube.com/vi/-0TTFAArJ9k/0.jpg,,
-0U3c4PN8sc,30,car passing by,train,https://img.youtube.com/vi/-0U3c4PN8sc/0.jpg,,
-0VKonoRviE,197,church bell ringing,train,https://img.youtube.com/vi/-0VKonoRviE/0.jpg,,
-0VKonoRviE,209,church bell ringing,train,https://img.youtube.com/vi/-0VKonoRviE/0.jpg,,
-0WfESRV74k,0,raining,train,https://img.youtube.com/vi/-0WfESRV74k/0.jpg,,
-0X1juZHG6I,30,toilet flushing,train,https://img.youtube.com/vi/-0X1juZHG6I/0.jpg,,
-0ZYW2yXKp8,22,bird wings flapping,train,https://img.youtube.com/vi/-0ZYW2yXKp8/0.jpg,,
-0ZYW2yXKp8,32,bird wings flapping,train,https://img.youtube.com/vi/-0ZYW2yXKp8/0.jpg,,
-0_vEaaXndY,11,driving buses,train,https://img.youtube.com/vi/-0_vEaaXndY/0.jpg,,
-0aiCtGjNXE,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-0aiCtGjNXE/0.jpg,,
-0p7hKXZ1ww,30,lighting firecrackers,test,https://img.youtube.com/vi/-0p7hKXZ1ww/0.jpg,,
-0vPFx-wRRI,30,people finger snapping,test,https://img.youtube.com/vi/-0vPFx-wRRI/0.jpg,,
-0yRK50zyTI,30,fire crackling,test,https://img.youtube.com/vi/-0yRK50zyTI/0.jpg,,
-17HGDPd8gE,30,waterfall burbling,train,https://img.youtube.com/vi/-17HGDPd8gE/0.jpg,,
-1EXhfqLLwQ,150,pumping water,test,https://img.youtube.com/vi/-1EXhfqLLwQ/0.jpg,,
-1MClsMVlF0,54,lighting firecrackers,train,https://img.youtube.com/vi/-1MClsMVlF0/0.jpg,,
-1UP2kG24nM,50,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-1UP2kG24nM/0.jpg,,
-1WK72M4xeg,220,driving motorcycle,train,https://img.youtube.com/vi/-1WK72M4xeg/0.jpg,,
-1eOkp74EGU,105,lighting firecrackers,train,https://img.youtube.com/vi/-1eOkp74EGU/0.jpg,,
-1eOkp74EGU,287,lighting firecrackers,train,https://img.youtube.com/vi/-1eOkp74EGU/0.jpg,,
-1oRfe0FQI8,60,"railroad car, train wagon",train,https://img.youtube.com/vi/-1oRfe0FQI8/0.jpg,,
-1pRmoJIGQc,10,car engine knocking,test,https://img.youtube.com/vi/-1pRmoJIGQc/0.jpg,,
-1q0XHPxqe8,80,"race car, auto racing",train,https://img.youtube.com/vi/-1q0XHPxqe8/0.jpg,,
-23CeprtibU,30,chainsawing trees,test,https://img.youtube.com/vi/-23CeprtibU/0.jpg,,
-25e5qcELvw,11,printer printing,train,https://img.youtube.com/vi/-25e5qcELvw/0.jpg,,
-25e5qcELvw,21,printer printing,train,https://img.youtube.com/vi/-25e5qcELvw/0.jpg,,
-2LHurwr5CQ,45,"subway, metro, underground",train,https://img.youtube.com/vi/-2LHurwr5CQ/0.jpg,,
-2LHurwr5CQ,95,"subway, metro, underground",train,https://img.youtube.com/vi/-2LHurwr5CQ/0.jpg,,
-2LJWaL2PuA,30,car passing by,train,https://img.youtube.com/vi/-2LJWaL2PuA/0.jpg,,
-2QyHTr4cJM,16,waterfall burbling,train,https://img.youtube.com/vi/-2QyHTr4cJM/0.jpg,,
-2X5YwLlICg,2,door slamming,train,https://img.youtube.com/vi/-2X5YwLlICg/0.jpg,,
-2poGMEmbbk,98,using sewing machines,train,https://img.youtube.com/vi/-2poGMEmbbk/0.jpg,,
-2poGMEmbbk,109,using sewing machines,train,https://img.youtube.com/vi/-2poGMEmbbk/0.jpg,,
-2qJQqXbtZs,42,vacuum cleaner cleaning floors,train,https://img.youtube.com/vi/-2qJQqXbtZs/0.jpg,,
-2qJQqXbtZs,128,vacuum cleaner cleaning floors,train,https://img.youtube.com/vi/-2qJQqXbtZs/0.jpg,,
-2xjeuKOWwQ,120,lawn mowing,train,https://img.youtube.com/vi/-2xjeuKOWwQ/0.jpg,,
-2xn5g7sfrU,44,basketball bounce,train,https://img.youtube.com/vi/-2xn5g7sfrU/0.jpg,,
-3-4qmWSJXU,30,thunder,test,https://img.youtube.com/vi/-3-4qmWSJXU/0.jpg,,
-3ADZZS5luA,104,car engine starting,train,https://img.youtube.com/vi/-3ADZZS5luA/0.jpg,,
-3EYaEWEfRE,30,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-3EYaEWEfRE/0.jpg,,
-3Hi-atFiAw,30,people shuffling,train,https://img.youtube.com/vi/-3Hi-atFiAw/0.jpg,,
-3M-k4nIYIM,30,car passing by,train,https://img.youtube.com/vi/-3M-k4nIYIM/0.jpg,,
-3MNphBfq_0,30,car passing by,train,https://img.youtube.com/vi/-3MNphBfq_0/0.jpg,,
-3PdsZqxOwA,40,people farting,train,https://img.youtube.com/vi/-3PdsZqxOwA/0.jpg,,
-3YMCZ2AWW0,30,waterfall burbling,train,https://img.youtube.com/vi/-3YMCZ2AWW0/0.jpg,,
-3YWuPXHknk,30,car engine starting,test,https://img.youtube.com/vi/-3YWuPXHknk/0.jpg,,
-3cXcRajPSc,30,raining,train,https://img.youtube.com/vi/-3cXcRajPSc/0.jpg,,
-3gU1bPU7_8,0,skateboarding,train,https://img.youtube.com/vi/-3gU1bPU7_8/0.jpg,,
-3rHVsIj1M8,30,wind noise,test,https://img.youtube.com/vi/-3rHVsIj1M8/0.jpg,,
-3tQW7Zhl9U,380,helicopter,train,https://img.youtube.com/vi/-3tQW7Zhl9U/0.jpg,,
-3yVqL0DWQE,30,car passing by,train,https://img.youtube.com/vi/-3yVqL0DWQE/0.jpg,,
-3z5mFRgbxc,30,driving buses,test,https://img.youtube.com/vi/-3z5mFRgbxc/0.jpg,,
-4N3GjgnIQ0,260,"subway, metro, underground",train,https://img.youtube.com/vi/-4N3GjgnIQ0/0.jpg,,
-4ano7snqlI,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-4ano7snqlI/0.jpg,,
-4eXuXHZw_A,30,playing snare drum,train,https://img.youtube.com/vi/-4eXuXHZw_A/0.jpg,,
-4k2KQXBucU,200,"race car, auto racing",train,https://img.youtube.com/vi/-4k2KQXBucU/0.jpg,,
-4pmCrSdMhg,30,horse clip-clop,test,https://img.youtube.com/vi/-4pmCrSdMhg/0.jpg,,
-4vYvHuiHH8,30,car passing by,train,https://img.youtube.com/vi/-4vYvHuiHH8/0.jpg,,
-4wjU1nWdjQ,30,stream burbling,train,https://img.youtube.com/vi/-4wjU1nWdjQ/0.jpg,,
-5G8-A2YtEU,11,"engine accelerating, revving, vroom",train,https://img.youtube.com/vi/-5G8-A2YtEU/0.jpg,,
-5Ik428qyGo,74,playing snare drum,train,https://img.youtube.com/vi/-5Ik428qyGo/0.jpg,,
-5KBSlu3DQc,30,"rowboat, canoe, kayak rowing",train,https://img.youtube.com/vi/-5KBSlu3DQc/0.jpg,,
-5QEN0mzCGA,15,car passing by,train,https://img.youtube.com/vi/-5QEN0mzCGA/0.jpg,,
-5adN5KiLog,0,machine gun shooting,train,https://img.youtube.com/vi/-5adN5KiLog/0.jpg,,
-5ddA2hIm8M,30,car passing by,train,https://img.youtube.com/vi/-5ddA2hIm8M/0.jpg,,
-5qzWUgsszA,540,fireworks banging,train,https://img.youtube.com/vi/-5qzWUgsszA/0.jpg,,
-5xBp5NL0o4,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-5xBp5NL0o4/0.jpg,,
-60vY5Xw1qE,30,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-60vY5Xw1qE/0.jpg,,
-62pV95k9O0,20,sliding door,train,https://img.youtube.com/vi/-62pV95k9O0/0.jpg,,
-67jCOryxzQ,4,car engine knocking,train,https://img.youtube.com/vi/-67jCOryxzQ/0.jpg,,
-6A2L1U9b5Y,54,driving motorcycle,train,https://img.youtube.com/vi/-6A2L1U9b5Y/0.jpg,,
-6AOy8GAMpM,60,typing on computer keyboard,train,https://img.youtube.com/vi/-6AOy8GAMpM/0.jpg,,
-6BO5P5QkX4,68,fire crackling,train,https://img.youtube.com/vi/-6BO5P5QkX4/0.jpg,,
-6BO5P5QkX4,174,fire crackling,train,https://img.youtube.com/vi/-6BO5P5QkX4/0.jpg,,
-6CgEzqeZFk,169,lighting firecrackers,train,https://img.youtube.com/vi/-6CgEzqeZFk/0.jpg,,
-6PJbEt7NKg,30,people running,train,https://img.youtube.com/vi/-6PJbEt7NKg/0.jpg,,
-6ZEGCtBKqs,226,"railroad car, train wagon",train,https://img.youtube.com/vi/-6ZEGCtBKqs/0.jpg,,
-6bTvuXsIXI,30,people clapping,train,https://img.youtube.com/vi/-6bTvuXsIXI/0.jpg,,
-6c4gcyhjBA,5,"motorboat, speedboat acceleration",train,https://img.youtube.com/vi/-6c4gcyhjBA/0.jpg,,
-6gxzS2ydY4,100,fireworks banging,train,https://img.youtube.com/vi/-6gxzS2ydY4/0.jpg,,
-6izN98y0Hk,390,sailing,train,https://img.youtube.com/vi/-6izN98y0Hk/0.jpg,,
-71Sh7BGYu8,250,church bell ringing,train,https://img.youtube.com/vi/-71Sh7BGYu8/0.jpg,,
